C:\Users\Acer>jmap -histo 9728
No dump file specified
Позволяет увидеть какие объекты созданы и в каком количестве
 номер		кол-во			вес		имя класса
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
 142:            63           1176  [Lsun.reflect.generics.tree.TypeArgument; (java.base@15)
 143:            28           1120  java.lang.Package$VersionInfo (java.base@15)
 144:             3           1088  [Ljava.lang.Integer; (java.base@15)
 145:            17           1088  java.lang.Class$ReflectionData (java.base@15)
 146:            27           1080  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@15)
 147:            67           1072  java.util.HashMap$KeySet (java.base@15)
 148:            19           1064  javax.management.openmbean.CompositeType (java.management@15)
 149:             1           1048  [Lsun.security.util.KnownOIDs; (java.base@15)
 150:             1           1040  [Ljava.lang.Long; (java.base@15)
 151:            65           1040  jdk.internal.module.SystemModuleFinders$3 (java.base@15)
 152:            41           1024  [Lcom.sun.management.internal.DiagnosticCommandArgumentInfo; (jdk.management@15)
 153:            18           1008  sun.security.ec.SunEC$ProviderServiceA (jdk.crypto.ec@15)
 154:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@15)
 155:            62            992  java.lang.ref.ReferenceQueue$Lock (java.base@15)
 156:            62            992  sun.reflect.generics.tree.ClassTypeSignature (java.base@15)
 157:            41            984  com.sun.jmx.mbeanserver.PerInterface$MethodAndSig (java.management@15)
 158:            24            960  com.sun.jmx.mbeanserver.MXBeanSupport (java.management@15)
 159:             8            960  java.io.ObjectStreamClass (java.base@15)
 160:            30            960  java.security.Provider$EngineDescription (java.base@15)
 161:            17            952  jdk.internal.org.objectweb.asm.Label (java.base@15)
 162:            29            928  java.lang.Package (java.base@15)
 163:            19            912  javax.management.openmbean.ArrayType (java.management@15)
 164:            37            904  [Ljavax.management.MBeanParameterInfo; (java.management@15)
 165:            14            896  java.net.URL (java.base@15)
 166:            14            896  java.nio.DirectByteBuffer (java.base@15)
 167:            16            896  sun.security.ec.SunEC$ProviderService (jdk.crypto.ec@15)
 168:             3            888  [[Ljava.lang.String; (java.base@15)
 169:            30            864  [Ljava.io.ObjectStreamField; (java.base@15)
 170:             6            864  [Ljava.lang.invoke.MemberName; (java.base@15)
 171:            36            864  com.sun.jmx.remote.internal.ArrayNotificationBuffer$NamedNotification (java.management@15)
 172:            36            864  java.lang.management.ManagementPermission (java.management@15)
 173:            27            864  java.util.Locale (java.base@15)
 174:            18            864  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@15)
 175:            17            816  java.lang.invoke.LambdaFormEditor$Transform (java.base@15)
 176:            25            800  com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference (java.management@15)
 177:            14            784  javax.management.openmbean.OpenMBeanParameterInfoSupport (java.management@15)
 178:            32            768  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping (java.management@15)
 179:            16            768  jdk.internal.org.objectweb.asm.Frame (java.base@15)
 180:            32            768  sun.management.MemoryUsageCompositeData (java.management@15)
